"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:02:42.5276299 PM","Explorer.EXE","1060","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.5967568 PM","Explorer.EXE","1060","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.5967790 PM","Explorer.EXE","1060","FileSystemControl","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"7:02:42.5970567 PM","Explorer.EXE","1060","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.5970735 PM","Explorer.EXE","1060","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6803393 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6803757 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6804067 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6804164 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6804318 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6805092 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6805768 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6805935 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6806013 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6806149 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6834867 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6835202 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6835338 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6835410 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6835734 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6836584 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6836925 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:42.6837045 PM","notepad++.exe","8276","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:42 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:42.6837110 PM","notepad++.exe","8276","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6837220 PM","notepad++.exe","8276","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:42.6837615 PM","notepad++.exe","8276","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:42.6837917 PM","notepad++.exe","8276","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
