"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:01:19.2997215 PM","NOTEPAD.EXE","6820","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.3002347 PM","NOTEPAD.EXE","6820","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.3002577 PM","NOTEPAD.EXE","6820","QueryDirectory","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","FileInformationClass: FileBothDirectoryInformation, Filter: haslo0.txt, 2: haslo0.txt"
"8:01:19.3169188 PM","NOTEPAD.EXE","6820","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"8:01:19.3316621 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.3316798 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","CreationTime: 12/9/2021 4:26:55 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: A"
"8:01:19.3316874 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.3317897 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.3318057 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","CreationTime: 12/9/2021 4:26:55 PM, LastAccessTime: 12/9/2021 8:01:19 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: A"
"8:01:19.3318127 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.3400761 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.3401032 PM","Explorer.EXE","4732","FileSystemControl","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS","Control: FSCTL_CREATE_OR_GET_OBJECT_ID"
"8:01:19.3403819 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests\haslo0.txt","SUCCESS",""
"8:01:19.3676215 PM","NOTEPAD.EXE","6820","QueryDirectory","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","FileInformationClass: FileIdBothDirectoryInformation, Filter: inz tests, 2: inz tests"
"8:01:19.3677076 PM","NOTEPAD.EXE","6820","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:01:19.3677277 PM","NOTEPAD.EXE","6820","QueryRemoteProtocolInformation","C:\Users\Radoslaw Motyka\inz tests","INVALID PARAMETER",""
